wl,n,k
0.200,1.396,1.10E-7
0.225,1.373,4.90E-8
0.250,1.362,3.35E-8
0.275,1.354,2.35E-8
0.300,1.349,1.60E-8
0.325,1.346,1.08E-8
0.350,1.343,6.50E-9
0.375,1.341,3.50E-9
0.400,1.339,1.86E-9
0.425,1.338,1.30E-9
0.450,1.337,1.02E-9
0.475,1.336,9.35E-10
0.500,1.335,1.00E-9
0.525,1.334,1.32E-9
0.550,1.333,1.96E-9
0.575,1.333,3.60E-9
0.600,1.332,1.09E-8
0.625,1.332,1.39E-8
0.650,1.331,1.64E-8
0.675,1.331,2.23E-8
0.700,1.331,3.35E-8
0.725,1.330,9.15E-8
0.750,1.330,1.56E-7
0.775,1.330,1.48E-7
0.800,1.329,1.25E-7
0.825,1.329,1.82E-7
0.850,1.329,2.93E-7
0.875,1.328,3.91E-7
0.900,1.328,4.86E-7
0.925,1.328,1.06E-6
0.950,1.327,2.93E-6
0.975,1.327,3.48E-6
1.0,1.327,2.89E-6
1.2,1.324,9.89E-6
1.4,1.321,1.38E-4
1.6,1.317,8.55E-5
1.8,1.312,1.15E-4
2.0,1.306,1.10E-3
2.2,1.296,2.89E-4
2.4,1.279,9.56E-4
2.6,1.242,3.17E-3
2.65,1.219,6.70E-3
2.70,1.188,0.019
2.75,1.157,0.059
2.80,1.142,0.115
2.85,1.149,0.185
2.90,1.201,0.268
2.95,1.292,0.298
3.00,1.371,0.272
3.05,1.426,0.240
3.10,1.467,0.192
3.15,1.483,0.135
3.20,1.478,0.0924
3.25,1.467,0.0610
3.30,1.450,0.0368
3.35,1.432,0.0261
3.40,1.420,0.0195
3.45,1.410,0.0132
3.50,1.400,0.0094
3.6,1.385,0.00515
3.7,1.374,0.00360
3.8,1.364,0.00340
3.9,1.357,0.00380
4.0,1.351,0.00460
4.1,1.346,0.00562
4.2,1.342,0.00688
4.3,1.338,0.00845
4.4,1.334,0.0103
4.5,1.332,0.0134
4.6,1.330,0.0147
4.7,1.330,0.0157
4.8,1.330,0.0150
4.9,1.328,0.0137
5.0,1.325,0.0124
5.1,1.322,0.0111
5.2,1.317,0.0101
5.3,1.312,0.0098
5.4,1.305,0.0103
5.5,1.298,0.0116
5.6,1.289,0.0142
5.7,1.277,0.0203
5.8,1.262,0.0330
5.9,1.248,0.0622
6.0,1.265,0.107
6.1,1.319,0.131
6.2,1.363,0.0880
6.3,1.357,0.0570
6.4,1.347,0.0449
6.5,1.339,0.0392
6.6,1.334,0.0356
6.7,1.329,0.0337
6.8,1.324,0.0327
6.9,1.321,0.0322
7.0,1.317,0.0320
7.1,1.314,0.0320
7.2,1.312,0.0321
7.3,1.309,0.0322
7.4,1.307,0.0324
7.5,1.304,0.0326
7.6,1.302,0.0328
7.7,1.299,0.0331
7.8,1.297,0.0335
7.9,1.294,0.0339
8.0,1.291,0.0343
8.2,1.286,0.0351
8.4,1.281,0.0361
8.6,1.275,0.0372
8.8,1.269,0.0385
9.0,1.262,0.0399
9.2,1.255,0.0415
9.4,1.247,0.0433
9.6,1.239,0.0454
9.8,1.229,0.0479
